name,name_en,railway,ele,operator_t,layer,addr_full,addr_city,source,name_hi,name_ta,osm_id,osm_type,geometry
Bhimnath,,station,,,,,,,,,4151942165,nodes,POINT (71.9220762 22.2394979)
Thivim,,station,,,,,,,,,2122458714,nodes,POINT (73.8770455 15.6298781)
Aravali Road,,station,,,,,,,,,4255633326,nodes,POINT (73.5380915 17.316657)
Virpur,,station,,,,,,,,,6773356159,nodes,POINT (70.707834 21.8490419)
Gondal,,station,,,,,,,,,634346965,nodes,POINT (70.7955235 21.9721823)
Dhoraji,,station,,,,,,,,,1063815274,nodes,POINT (70.4443401 21.7220402)
Khanapur,,station,,,,,,,,,1191359734,nodes,POINT (74.4997035 15.6377745)
Dhandhuka,,station,,,,,,,,,6759527039,nodes,POINT (71.9765847 22.3849802)
Vartej,,station,,,,,,,,,1562249974,nodes,POINT (72.0551919 21.7460685)
Khodiyar Mandir,,station,,,,,,,,,1562249971,nodes,POINT (72.0044148 21.7393228)
Sihor Junction,,station,,,,,,,,,915522827,nodes,POINT (71.9569857 21.7245461)
Somnath,,station,,,,,,,,,918556470,nodes,POINT (70.4080467 20.8957174)
Jetpur,,station,,,,,,,,,2083205759,nodes,POINT (70.6449553 21.7356927)
Kunkavav,,station,,,,,,,,,915523048,nodes,POINT (70.9744593 21.6530805)
Dhasa Junction,,station,,,,,,,,,915523098,nodes,POINT (71.518056 21.7827419)
Bhanduri,,station,,,,,,,,,2083204388,nodes,POINT (70.2847162 21.1052774)
Bhayavadar,,station,,,,,,,,,6764785291,nodes,POINT (70.2362621 21.8479044)
Alampur,,station,,,,,,,,,6762215842,nodes,POINT (71.7111032 21.9599534)
Ujalvav,,station,,,,,,,,,6762206271,nodes,POINT (71.7049776 21.9052461)
Jaliya,,station,,,,,,,,,6764025143,nodes,POINT (71.6326258 21.8155236)
Dhuri Junction,,station,,,,,,,,,807827204,nodes,POINT (75.8662358 30.3729689)
Chorwad Road,,station,,,,,,,,,918556903,nodes,POINT (70.2902323 21.0539354)
Maliya Hatina,,station,,,,,,,,,2083204314,nodes,POINT (70.2994887 21.1596015)
Kup,,station,,,,,,,,,6369329151,nodes,POINT (75.8522487 30.6001545)
Sompeta,,station,,,,,,,,,2968675775,nodes,POINT (84.5815746 18.9809076)
Urlam,,station,,,,,,,उर्लाम,,2522874364,nodes,POINT (83.9892718 18.4347141)
Kundali,,station,,,,,,,,,6762221882,nodes,POINT (71.6835403 22.2782822)
Chuda,,station,,,,,,,,,6762223626,nodes,POINT (71.7498909 22.4949453)
Ranpur,,station,,,,,,,,,6762201983,nodes,POINT (71.7169084 22.3598858)
Mandasa Road,,station,,,,,,,,,2522862491,nodes,POINT (84.4948757 18.8407046)
Summadevi,,station,,,,,,,,,2522862356,nodes,POINT (84.4590545 18.7949851)
Wankaner Junction,,station,,,,,,,,,1425115151,nodes,POINT (70.9637413 22.6223764)
Jassowal,,station,,,,,,,,,243874860,nodes,POINT (75.8321086 30.800132)
Sindhar,,station,,,,,,,,,6370334118,nodes,POINT (75.2546278 31.1057424)
Baba Sodhal Nagar,,station,,,,,,,,,6357918448,nodes,POINT (75.5667312 31.3513818)
Digsar,,station,,,,,,,,,5745105546,nodes,POINT (71.5015433 22.7134639)
Baruva,,station,,,,,,,,,2522862679,nodes,POINT (84.5544628 18.9011349)
Jalandhar Cantonment Junction,,station,,,,,,,,,477127497,nodes,POINT (75.6311992 31.3073313)
Nakodar Junction,,station,,,,,,,,,809560603,nodes,POINT (75.4765718 31.111861)
Malsian Shahkot,,station,,,,,,,,,6076205911,nodes,POINT (75.3550154 31.1098662)
Sarangpur Road,,station,,,,,,,,,6759603888,nodes,POINT (71.7374535 22.2311456)
Ningala,,station,,,,,,,,,6762202232,nodes,POINT (71.7087093 22.0274386)
Lathidad,,station,,,,,,,,,6762226369,nodes,POINT (71.7032161 22.0888597)
Chitravad,,station,,,,,,,,,6765764157,nodes,POINT (70.5569326 21.1010253)
Nasrala,,station,,,,,,,,,6370951187,nodes,POINT (75.8368292 31.494169)
Adari Road,,station,,,,,,,,,6775510378,nodes,POINT (70.3307151 20.9871487)
Damnagar,,station,,,,,,,,,6765102843,nodes,POINT (71.5095334 21.6881983)
Prachi Road Junction,,station,,,,,,,,,6765949818,nodes,POINT (70.6910645 20.9833883)
Kansiya Nes,,station,,,,,,,,,6765758309,nodes,POINT (70.6500267 21.2535907)
Savni,,station,,,,,,,,,6765731677,nodes,POINT (70.4493739 20.9628238)
Rajula City,,station,,,,,,,,,1362181594,nodes,POINT (71.4561025 21.0467208)
Alau,,station,,,,,,,,,6759601850,nodes,POINT (71.6882267 22.2104177)
Mahuva Junction,,station,,,,,Mahuva,,,,915605108,nodes,POINT (71.7568456 21.0943917)
Pipavav,,station,,,,,,,,,1805442322,nodes,POINT (71.4741815 20.9317517)
New Loni,,station,,,,,,,,,6591850967,nodes,POINT (74.8657586 18.9465424)
Vijpadi Road,,station,,,,,,,,,6765403960,nodes,POINT (71.4467015 21.1801452)
Rajula Junction,,station,,,,,,,,,915605123,nodes,POINT (71.4792058 21.1039988)
Jalandhar City Junction,,station,,,,,,,,,1849420184,nodes,POINT (75.5907178 31.3312228)
Savarkundla,,station,,,,,,,,,1568014474,nodes,POINT (71.3130864 21.3355059)
Taklimiya,,station,,,,,,,,,794526614,nodes,POINT (74.6791353 19.4577987)
Rahuri,,station,,,,,,,,,794526508,nodes,POINT (74.6773913 19.4135394)
Ranjangaon Road,,station,,,,,,,,,30519796,nodes,POINT (74.6067124 18.8781663)
Bhader,,station,,,,,,,,,6765703413,nodes,POINT (70.9288762 21.3649632)
Aurangabad,,station,,,,,,,,,3306484869,nodes,POINT (75.3114008 19.8597998)
Karmad,,station,,,,,,,,,6272414255,nodes,POINT (75.5379525 19.8728917)
Dhandarikalan,,station,,,,,,,,,5929614386,nodes,POINT (75.9094602 30.8743684)
Karmali,,station,,,,,,,करमली,,571580159,nodes,POINT (73.9245522 15.4904538)
Ukshi,,station,,,,,,,,,6123882592,nodes,POINT (73.4568767 17.1301992)
Khakhriya,,station,,,,,,,,,6763969567,nodes,POINT (70.8788224 21.6772899)
Lunidhar,,station,,,,,,,,,915522905,nodes,POINT (71.0865219 21.7158889)
Amreli,,station,,,,,,,,,1621473135,nodes,POINT (71.2281152 21.6078806)
Khijadiya Junction,,station,,,,,,,,,1065469771,nodes,POINT (71.2762871 21.740905)
Liliya Mota,,station,,,,,,,,,6765096187,nodes,POINT (71.3725053 21.5399239)
Padhegaon,,station,,,,,,,,,794526617,nodes,POINT (74.6923237 19.5373029)
Akolner,,station,,,,,,,,,6171411391,nodes,POINT (74.6683185 18.9839331)
Kharepatan Road,,station,,,,,,,,,6581482631,nodes,POINT (73.6607503 16.5689786)
Songadh,,station,,,,,,,,,1981361947,nodes,POINT (71.8863662 21.7286149)
Chital,,station,,,,,,,,,1065469658,nodes,POINT (71.2187917 21.7453791)
Pernem,,station,,,,,,,,,2093284065,nodes,POINT (73.8167602 15.7089964)
Lathi,,station,,,,,,,,,6763985713,nodes,POINT (71.3867825 21.7393601)
Shivni Shivapur,,station,,,,,,,,,6200641744,nodes,POINT (77.0481375 20.6757461)
Murtajapur Town,,station,,,,,,,,,6633681513,nodes,POINT (77.3668909 20.7270957)
Tikamgarh,,station,,,,,,,,,2058904202,nodes,POINT (78.8403957 24.7665639)
Lalitpur Junction,,station,,,,,,,,,1348472760,nodes,POINT (78.3957263 24.6878726)
Borgaon,,station,,,,,,,,,3783072954,nodes,POINT (77.1812942 20.7283562)
Pargothan,,station,,,,,,,,,6634337613,nodes,POINT (78.2877732 20.9041239)
Pachegaon,,station,,,,,,,,,6634343306,nodes,POINT (78.2518014 20.9417056)
Dhanori,,station,,,,,,,,,6634332197,nodes,POINT (78.2908544 20.8793208)
Dailwara,,station,,,,,,,,,2184430983,nodes,POINT (78.3933342 24.7805356)
Jiron,,station,,,,,,,,,2184431000,nodes,POINT (78.3612937 24.6079576)
Jakhalaun,,station,,,,,,,,,2184437236,nodes,POINT (78.341969 24.5472429)
Khubagaon,,station,,,,,,,,,6634358838,nodes,POINT (78.239315 20.9630295)
Tuljapur,,station,,,,,,,,,2100206400,nodes,POINT (78.8076452 20.8002764)
Sonegaon,,station,,,,,,,,,2524989604,nodes,POINT (78.7093145 20.62885)
Basti,,station,,,,,,,,,5768131060,nodes,POINT (82.7698883 26.8153868)
